Number,A parts,B parts,C parts,M parts,New SMILES
71,A1,B5,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2C=C(C)C(=O)C2(O)C1
72,A2,B5,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2CC(C)C(=O)C2(O)C1
73,A3,B5,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2C=C(C)C(O*)C2(O)C1
74,A4,B5,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2CC(C)C(O*)C2(O)C1
75,A5,B5,C3,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2=CC(C)C(=O)C2(O)C1
76,A1,B5,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2C=C(C)C(=O)C2(O)C1
77,A2,B5,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2CC(C)C(=O)C2(O)C1
78,A3,B5,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2C=C(C)C(O*)C2(O)C1
79,A4,B5,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2CC(C)C(O*)C2(O)C1
80,A5,B5,C4,,*OCC1(O)C(O)C2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2=CC(C)C(=O)C2(O)C1
81,A1,B3,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(=O)C2(O)C1O
82,A2,B3,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(=O)C2(O)C1O
83,A3,B3,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(O*)C2(O)C1O
84,A4,B3,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(O*)C2(O)C1O
85,A5,B3,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2=CC(C)C(=O)C2(O)C1O
86,A1,B3,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2C=C(C)C(=O)C2(O)C1O
87,A2,B3,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2CC(C)C(=O)C2(O)C1O
88,A3,B3,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2C=C(C)C(O*)C2(O)C1O
89,A4,B3,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2CC(C)C(O*)C2(O)C1O
90,A5,B3,C2,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)C(O*)C(C)C2(O4)C2=CC(C)C(=O)C2(O)C1O
91,A1,B3,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2C=C(C)C(=O)C2(O)C1O
92,A2,B3,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2CC(C)C(=O)C2(O)C1O
93,A3,B3,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2C=C(C)C(O*)C2(O)C1O
94,A4,B3,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2CC(C)C(O*)C2(O)C1O
95,A5,B3,C3,,*OCC1=CC2C(O*)C(O)(C(=C)C)CC(C)C2(O)C2=CC(C)C(=O)C2(O)C1O
96,A1,B3,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2C=C(C)C(=O)C2(O)C1O
97,A2,B3,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2CC(C)C(=O)C2(O)C1O
98,A3,B3,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2C=C(C)C(O*)C2(O)C1O
99,A4,B3,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2CC(C)C(O*)C2(O)C1O
100,A5,B3,C4,,*OCC1=CC2C(O*)C(O)(C(=C)C)C(O*)C(C)C2(O)C2=CC(C)C(=O)C2(O)C1O
101,A1,B6,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(=O)C2(O)C1
102,A2,B6,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2CC(C)C(=O)C2(O)C1
103,A3,B6,C1,,*OCC1=CC2C3OC4(*)OC3(C(=C)C)CC(C)C2(O4)C2C=C(C)C(O*)C2(O)C1
